Municipio	Capital	Entidad federal	Población (2021)	Capital_pob	Superficie(km²)	Densidad(hab./km²)
San Casimiro	San Casimiro	Aragua	35 103	27 613	498	70.48
San Sebastián	San Sebastián de Los Reyes	Aragua	31 567	31 567	491	64.29
Santiago Mariño	Turmero	Aragua	266 945	75 218	497	537.11
Santos Michelena	Las Tejerías	Aragua	45 436	41 920	220	206.52
Sucre - Aragua	Cagua	Aragua	138 437	129 113	76	1821.53
Tovar - Aragua	La Colonia Tovar	Aragua	16 385	16 385	225	72.82
Urdaneta - Aragua	Barbacoas	Aragua	34 074	19 558	2024	16.83
Zamora - Aragua	Villa de Cura	Aragua	173 014	108 507	649	266.58
Alberto Arvelo Torrealba	Sabaneta	Barinas	54 133	45 868	769	70.39
Andrés Eloy Blanco - Barinas	El Cantón	Barinas	19 920	8094	1493	13.34
Antonio José de Sucre	Socopó	Barinas	96 337	77 123	2975	32.38
Arismendi - Barinas	Arismendi	Barinas	27 544	11 072	7209	3.82
Barinas	Barinas	Barinas	495 578	421 128	3304	149.99
Bolívar - Barinas	Barinitas	Barinas	64 780	54 072	1047	61.87
Cruz Paredes	Barrancas	Barinas	32 648	26 960	778	41.96
Ezequiel Zamora - Barinas	Santa Bárbara	Barinas	64 426	49 741	4042	15.93
Obispos	Obispos	Barinas	48 601	21 003	1753	27.72
Pedraza	Ciudad Bolivia	Barinas	79 815	56 001	6693	11.92
Rojas	Libertad	Barinas	49 747	13 531	1591	31.26
Sosa	Ciudad de Nutrias	Barinas	29 822	8171	3546	8.41
Angostura del Orinoco	Ciudad Bolívar	Bolívar	395 176	387 449	5851	67.36
Bolivariano Angostura	Ciudad Piar	Bolívar	49 070	17 375	56 916	0.86
Caroní	Ciudad Guayana	Bolívar	831 264	792 635	1612	515.67
Cedeño - Bolívar	Caicara del Orinoco	Bolívar	82 179	48 581	46 020	1.78
El Callao	El Callao	Bolívar	26 963	26 963	2223	12.12
Gran Sabana	Santa Elena de Uairén	Bolívar	34 309	32 000	32 990	1.03
Padre Pedro Chien	El Palmar	Bolívar	20 031	20 031	2275	8.80
Piar - Bolívar	Upata	Bolívar	123 242	106 060	15 900	7.75
Roscio	Guasipati	Bolívar	27 788	26 968	6182	4.49
Sifontes	Tumeremo	Bolívar	57 943	33 849	24 393	2.37
Sucre - Bolívar	Maripa	Bolívar	26 677	5440	46 166	0.57
Bejuma	Bejuma	Carabobo	56 275	37 560	469	119.98
Carlos Arvelo	Güigüe	Carabobo	175 908	85 514	835	210.66
Diego Ibarra	Mariara	Carabobo	130 961	130 961	79	1657.73
Guacara	Guacara	Carabobo	213 815	185 776	165	1295.84
Juan José Mora	Morón	Carabobo	80 496	70 760	453	177.69
Libertador - Carabobo	Tocuyito	Carabobo	207 247	207 247	558	371.41
Los Guayos	Los Guayos	Carabobo	192 582	192 582	64	3009.09
Miranda - Carabobo	Miranda	Carabobo	34 809	34 809	161	216.20
Montalbán	Montalbán	Carabobo	29 977	29 977	107	280.15
Naguanagua	Naguanagua	Carabobo	178 413	178 413	188	949.00
Puerto Cabello	Puerto Cabello	Carabobo	182 512	173 500	434	420.53
San Diego	San Diego	Carabobo	126 101	126 101	106	1189.63
San Joaquín	San Joaquín	Carabobo	75 707	75 707	127	596.11
Valencia	Valencia	Carabobo	980 277	968 991	623	1573.47
Anzoátegui	Cojedes	Cojedes	23 019	8945	831	27.70
Falcon	Tinaquillo	Cojedes	124 919	124 919	714	174.95
Girardot - Cojedes	El Baúl	Cojedes	16 806	13 388	3468	4.84
Lima Blanco	Macapo	Cojedes	14 377	8817	127	113.20
Pao de San Juan Bautista	El Pao	Cojedes	25 300	25 300	5089	4.97
Ricaurte	Libertad	Cojedes	18 456	16 416	905	20.39
Rómulo Gallegos - Cojedes	Las Vegas	Cojedes	26 270	26 270	725	36.23
San Carlos	San Carlos	Cojedes	140 256	133 708	1843	76.10
Tinaco	Tinaco	Cojedes	43 336	43 336	1098	39.46
Antonio Díaz	Curiapo	Delta Amacuro	42 417	18 681	22 746	7.86
Casacoima	Sierra Imataca	Delta Amacuro	38 839	13 604	2921	13.29
Pedernales	Pedernales	Delta Amacuro	9163	6538	3537	2.59
Tucupita	Tucupita	Delta Amacuro	149 845	6873	10 996	13.62
Libertador - Distrito Capital	Caracas	Distrito Capital	2 277 972	2 277 972	433	5260.90
Acosta - Falcón	San Juan de los Cayos	Falcón	23 323	9734	757	30.80
Bolívar - Falcón	San Luis	Falcón	11 345	5709	295	38.45
Buchivacoa	Capatárida	Falcón	27 932	10 678	2657	10.51
Cacique Manaure	Yaracal	Falcón	13 918	13 918	190	73.25
Carirubana	Punto Fijo	Falcón	310 730	148 005	684	454.28
Colina	La Vela de Coro	Falcón	48 451	34 498	582	83.24
Dabajuro	Dabajuro	Falcón	28 009	28 009	1144	24.48
Democracia	Pedregal	Falcón	12 415	8869	2602	4.77
Falcón	Pueblo Nuevo	Falcón	55 014	16 428	1577	34.88
Federación	Churuguara	Falcón	35 135	18 299	1084	32.41
Jacura	Jacura	Falcón	13 046	7088	1842	7.08
Los Taques	Santa Cruz de Los Taques	Falcón	54 132	27 317	231	234.33
Mauroa	Mene de Mauroa	Falcón	30 438	20 422	1904	15.98
Miranda - Falcón	Santa Ana de Coro	Falcón	268 862	251 459	1805	148.95
Monseñor Iturriza	Chichiriviche	Falcón	26 970	13 025	907	29.73
Palmasola	Palmasola	Falcón	8816	8816	194	45.44
Petit	Cabure	Falcón	17 471	8421	1025	17.04
Piritu - Falcón	Píritu	Falcón	13 152	9957	1168	11.26
San Francisco - Falcón	Mirimire	Falcón	13 587	13 587	346	39.26
Silva	Tucacas	Falcón	39 546	28 704	537	73.64
Sucre - Falcón	La Cruz de Taratara	Falcón	7799	5778	840	9.28
Tocopero	Tocópero	Falcón	8109	8109	83	97.69
Unión	Santa Cruz de Bucaral	Falcón	19 638	11 953	975	20.14
Urumaco	Urumaco	Falcón	10 580	7741	752	14.06
Zamora - Falcón	Puerto Cumarebo	Falcón	38 897	29 952	619	62.83
Camaguan	Camaguán	Guárico	30 122	20 716	1164	25.87
Chaguaramas	Chaguaramas	Guárico	17 095	17 095	2069	8.15
El Socorro	El Socorro	Guárico	21 809	21 809	2659	8.20
Francisco de Miranda - Guárico	Calabozo	Guárico	165 539	153 924	13 490	12.27
José Félix Ribas – Guárico	Tucupido	Guárico	48 731	44 689	2792	17.45
José Tadeo Monagas	Altagracia de Orituco	Guárico	92 032	66 520	3455	26.63
Juan Germán Roscio	San Juan de los Morros	Guárico	159 302	151 418	1497	106.41
Julián Mellado	El Sombrero	Guárico	36 572	34 045	2983	12.26
Las Mercedes	Las Mercedes	Guárico	41 106	25 623	7691	5.34
Leonardo Infante	Valle de La Pascua	Guárico	154 684	149 027	10 613	14.57
Ortiz	Ortiz	Guárico	29 461	13 509	4129	7.13
San Gerónimo de Guayabal	Guayabal	Guárico	25 263	16 691	4357	5.79
San José de Guaribe	San José de Guaribe	Guárico	14 294	14 294	1128	12.67
Santa María de Ipire	Santa María de Ipire	Guárico	15 957	14 899	4549	3.47
Zaraza	Zaraza	Guárico	75 808	72 315	2410	31.45
Andrés Eloy Blanco - Lara	Sanare	Lara	56 076	37 168	708	79.20
Crespo	Duaca	Lara	58 960	38 849	875	67.38
Iribarren	Barquisimeto	Lara	1 225 175	1 173 095	2760	443.90
Jiménez	Quibor	Lara	113 647	50 368	768	147.97
Moran	El Tocuyo	Lara	141 556	74 424	2231	63.44
Palavecino	Cabudare	Lara	207 494	86 610	440	471.57
Simón Planas	Sarare	Lara	48 535	24 184	808	60.06
Torres	Carora	Lara	211 806	123 082	6954	30.45
Urdaneta - Lara	Siquisique	Lara	69 956	27 120	4256	16.43
Alberto Adriani	El Vigía	Mérida	164 330	107 836	683	240.60
Andrés Bello - Mérida	La Azulita	Mérida	17 294	17 294	398	43.45
Antonio Pinto Salinas	Santa Cruz de Mora	Mérida	31 073	22 902	348	89.29
Aricagua	Aricagua	Mérida	6119	4680	790	7.74
Arzobispo Chacón	Canaguá	Mérida	15 478	4227	1659	9.32
Campo Elías	Ejido	Mérida	119 614	107 897	609	196.41
Caracciolo Parra Olmedo	Tucaní	Mérida	35 714	26 659	689	51.83
Cardenal Quintero	Santo Domingo	Mérida	11 617	6876	350	33.19
Guaraque	Guaraque	Mérida	11 533	5386	533	21.63
Julio Cesar Sala	Arapuey	Mérida	18 389	15 478	202	91.03
Justo Briceño	Torondoy	Mérida	6082	4540	509	11.94
Libertador - Mérida	Mérida	Mérida	261 076	258 836	803	325.15
Miranda - Mérida	Timotes	Mérida	27 977	20 094	408	68.57
Obispo Ramos de Lora	Santa Elena de Arenales	Mérida	31 919	17 556	321	99.43
Padre Noguera	Santa María de Caparo	Mérida	4628	4628	206	22.46
Pueblo Llano	Pueblo Llano	Mérida	13 185	13 185	89	148.14
Rangel	Mucuchíes	Mérida	25 243	10 508	517	48.82
Rivas Dávila	Bailadores	Mérida	24 264	19 809	182	133.31
Santos Marquina	Tabay	Mérida	21 638	21 638	192	112.69
Sucre - Mérida	Lagunillas	Mérida	69 240	29 265	946	73.19
Tovar - Mérida	Tovar	Mérida	45 438	45 438	184	246.94
Tulio Febres Cordero	Nueva Bolivia	Mérida	42 276	21 326	560	75.49
Zea	Zea	Mérida	14 092	9207	122	115.50
Acevedo	Caucagua	Miranda	108 299	32 356	1879	57.63
Andrés Bello - Miranda	San José de Barlovento	Miranda	24 526	23 287	114	215.14
Baruta	Baruta	Miranda	273 755	183 320	86	3183.19
Brión	Higuerote	Miranda	72 520	42 699	531	136.57
Buroz	Mamporal	Miranda	34 203	34 203	198	172.74
Carrizal	Carrizal	Miranda	60 392	60 392	32	1887.25
Chacao	Chacao	Miranda	68 985	68 985	13	5306.53
Cristóbal Rojas	Charallave	Miranda	140 596	111 469	120	1171.63
El Hatillo	El Hatillo	Miranda	82 439	82 439	81	1017.76
Guaicaipuro	Los Teques	Miranda	287 664	221 985	661	435.19
Independencia - Miranda	Santa Teresa del Tuy	Miranda	173 685	81 938	284	611.56
Lander	Ocumare del Tuy	Miranda	215 445	167 558	478	450.72
Los Salías	San Antonio de los Altos	Miranda	75 166	75 166	51	1473.84
Páez - Miranda	Río Chico	Miranda	46 005	25 218	963	47.77
Paz Castillo	Santa Lucía	Miranda	132 876	132 876	408	325.67
Pedro Gual	Cúpira	Miranda	27 151	25 876	925	29.35
Plaza	Guarenas	Miranda	248 945	248 945	180	1383.02
Simón Bolívar - Miranda	San Francisco de Yare	Miranda	60 664	51 832	131	463.08
Sucre - Miranda	Petare	Miranda	682 718	420 610	164	4162.91
Urdaneta - Miranda	Cúa	Miranda	176 326	142 967	273	645.88
Zamora - Miranda	Guatire	Miranda	216 276	175 705	378	572.15
Acosta - Monagas	San Antonio	Monagas	22 335	14 300	609	36.67
Aguasay	Aguasay	Monagas	16 739	16 739	2504	6.68
Bolívar - Monagas	Caripito	Monagas	47 609	47 609	345	137.99
Caripe	Caripe	Monagas	40 965	11 017	573	71.49
Cedeño - Monagas	Caicara	Monagas	42 397	25 655	1977	21.44
Ezequiel Zamora - Monagas	Punta de Mata	Monagas	82 480	67 682	162	509.13
Libertador - Monagas	Temblador	Monagas	54 373	40 325	3447	15.77
Maturín	Maturín	Monagas	655 423	576 335	13 042	50.25
Piar - Monagas	Aragua	Monagas	58 886	14 788	1074	54.82
Punceres	Quiriquire	Monagas	34 760	17 515	754	46.10
Santa Babara	Santa Bárbara	Monagas	13 116	13 116	588	22.30
Sotillo	Barrancas	Monagas	31 189	22 770	1061	29.39
Uracoa	Uracoa	Monagas	12 269	12 269	2764	4.43
Antolín del Campo	La Plaza de Paraguachí	Nueva Esparta	35 830	35 830	72	497.63
Arismendi - Nueva Esparta	La Asunción	Nueva Esparta	35 986	35 986	52	692.03
Díaz	San Juan Bautista	Nueva Esparta	88 696	52 587	166	534.31
García	El Valle del Espíritu Santo	Nueva Esparta	80 441	21 905	85	946.36
Gómez	Santa Ana	Nueva Esparta	49 814	20 561	96	518.89
Maneiro	Pampatar	Nueva Esparta	54 828	28 701	35	1566.51
Marcano	Juan Griego	Nueva Esparta	45 782	27 268	40	1144.55
Mariño - Nueva Esparta	Porlamar	Nueva Esparta	118 649	118 649	39	3042.28
Peninsula de Macanao	Boca de Río	Nueva Esparta	33 597	14 959	331	101.50
Tubores	Punta de Piedras	Nueva Esparta	46 597	30 521	180	258.87
Villalba	San Pedro de Coche	Nueva Esparta	11 894	7142	55	216.25
Agua Blanca	Agua Blanca	Portuguesa	26 512	26 512	199	133.22
Araure	Araure	Portuguesa	180 812	166 116	640	282.51
Esteller	Píritu	Portuguesa	54 303	46 218	754	72.01
Guanare	Guanare	Portuguesa	244 050	206 671	2008	121.53
Guanarito	Guanarito	Portuguesa	47 667	40 376	3103	15.36
Monseñor José Vicente de Und	Paraíso de Chabasquén	Portuguesa	29 282	26 553	222	131.90
Ospino	Ospino	Portuguesa	58 127	35 133	1675	34.70
Páez - Portuguesa	Acarigua	Portuguesa	219 524	189 716	425	516.52
Papelón	Papelón	Portuguesa	19 219	7140	2203	8.72
San Genaro de Boconoito	Boconoito	Portuguesa	29 480	19 709	1031	28.59
San Rafael de Onoto	San Rafael de Onoto	Portuguesa	23 684	19 225	187	126.65
Santa Rosalía	El Playón	Portuguesa	22 669	18 147	1029	22.03
Sucre - Portuguesa	Biscucuy	Portuguesa	47 196	24 671	400	117.99
Turen	Villa Bruzual	Portuguesa	76 409	53 750	1324	57.71
Andrés Eloy Blanco - Sucre	Casanay	Sucre	30 981	19 660	721	42.96
Andrés Mata	San José de Aerocuar	Sucre	24 818	14 409	454	54.66
Arismendi - Sucre	Río Caribe	Sucre	54 735	29 900	769	71.17
Benítez	El Pilar	Sucre	38 501	20 520	2733	14.08
Bermúdez	Carúpano	Sucre	170 052	170 052	203	837.69
Bolívar - Sucre	Marigüitar	Sucre	27 594	27 594	211	130.77
Cajigal	Yaguaraparo	Sucre	27 069	15 173	365	74.16
Cruz Salmerón Acosta	Araya	Sucre	44 811	26 395	612	73.22
Libertador - Sucre	Tunapuy	Sucre	12 713	11 023	237	53.64
Mariño - Sucre	Irapa	Sucre	28 217	15 011	469	60.16
Mejía	San Antonio del Golfo	Sucre	18 144	18 144	298	60.88
Montes	Cumanacoa	Sucre	69 696	32 139	1080	64.53
Ribero	Cariaco	Sucre	67 930	38 215	1480	45.89
Sucre - Sucre	Cumaná	Sucre	451 794	401 482	1570	287.76
Valdez	Güiria	Sucre	50 862	41 407	598	85.05
Andrés Bello - Táchira	Cordero	Táchira	24 160	24 160	98	246.53
Antonio Rómulo Costa	Las Mesas	Táchira	13 333	13 333	146	91.32
Ayacucho	Colón	Táchira	67 590	57 446	507	133.31
Bolívar - Táchira	San Antonio del Táchira	Táchira	70 124	54 247	204	343.74
Cárdenas	Táriba	Táchira	139 002	111 355	262	530.54
Córdoba	Santa Ana	Táchira	38 372	38 372	619	61.99
Fernández Feo	San Rafael del Piñal	Táchira	53 939	22 278	1084	49.75
Francisco de Miranda - Táchira	San José de Bolívar	Táchira	5169	5169	262	19.72
García de Hevia	La Fría	Táchira	63 736	54 702	911	69.96
Guasimos	Palmira	Táchira	51 029	51 029	32	1594.65
Independencia - Táchira	Capacho Nuevo	Táchira	43 065	27 497	80	538.31
Jáuregui	La Grita	Táchira	48 172	40 521	444	108.49
José María Vargas	El Cobre	Táchira	13 543	13 543	85	159.32
Junín	Rubio	Táchira	96 402	84 242	208	463.47
Libertad - Táchira	Capacho Viejo	Táchira	31 967	16 381	166	192.57
Libertador - Táchira	Abejales	Táchira	27 016	11 488	1139	23.71
Lobatera	Lobatera	Táchira	16 654	9325	216	77.10
Michelena	Michelena	Táchira	22 815	22 815	128	178.24
Panamericano	Coloncito	Táchira	37 198	28 765	569	65.37
Pedro María Ureña	Ureña	Táchira	61 930	49 537	184	336.57
Rafael Urdaneta	Delicias	Táchira	7720	7720	176	43.86
Samuel Darío Maldonado	La Tendida	Táchira	22 051	13 294	548	40.23
San Cristóbal	San Cristóbal	Táchira	302 203	300 846	241	1253.95
San Judas Tadeo	Umuquena	Táchira	9914	9914	253	39.18
Seboruco	Seboruco	Táchira	13 348	13 348	162	82.39
Simón Rodríguez - Táchira	San Simón	Táchira	2950	2950	69	42.75
Sucre - Táchira	Queniquea	Táchira	9680	6784	407	23.78
Torbes	San Josecito	Táchira	58 322	58 322	110	530.20
Uribante	Pregonero	Táchira	24 888	16 077	1502	16.56
Andrés Bello - Trujillo	Santa Isabel	Trujillo	21 800	7874	202	107.92
Bocono	Boconó	Trujillo	103 717	32 840	1365	75.98
Bolívar - Trujillo	Sabana Grande	Trujillo	19 626	9751	208	94.35
Candelaria	Chejendé	Trujillo	33 348	16 044	411	81.13
Carache	Carache	Trujillo	32 160	13 754	957	33.60
Escuque	Escuque	Trujillo	33 031	17 459	165	200.18
José Felipe Márquez Cañizal	El Paradero	Trujillo	6656	5715	648	10.27
Juan Vicente Campo Elías	Campo Elías	Trujillo	7356	5422	98	75.06
La Ceiba	Santa Apolonia	Trujillo	24 032	6706	386	62.25
Miranda - Trujillo	El Dividive	Trujillo	26 177	13 828	374	69.99
Monte Carmelo	Monte Carmelo	Trujillo	17 381	7786	386	45.02
Motatan	Motatán	Trujillo	38 383	23 823	115	333.76
Pampan	Pampán	Trujillo	65 296	10 148	431	151.49
Pampanito	Pampanito	Trujillo	37 528	17 848	93	403.52
Rafael Rangel	Betijoque	Trujillo	28 489	7019	120	237.40
San Rafael de Carvajal	Carvajal	Trujillo	65 882	22 273	77	855.61
Sucre - Trujillo	Sabana de Mendoza	Trujillo	38 595	12 380	214	180.35
Trujillo	Trujillo	Trujillo	70 426	63 662	413	170.52
Urdaneta - Trujillo	La Quebrada	Trujillo	39 738	8275	497	79.95
Valera	Valera	Trujillo	176 961	150 869	240	737.33
Vargas	La Guaira	Vargas	448 894	21 250	1171	383.34
Arístides Bastidas	San Pablo	Yaracuy	25 234	25 234	74	341
Bolívar - Yaracuy	Aroa	Yaracuy	37 664	37 664	1087	34.64
Bruzual	Chivacoa	Yaracuy	83 862	68 108	417	201.10
Cocorote	Cocorote	Yaracuy	52 444	52 444	135	388.47
Independencia - Yaracuy	Independencia	Yaracuy	72 788	72 788	98	742.73
José Antonio Páez	Sabana de Parra	Yaracuy	23 806	23 806	135	176.34
La Trinidad	Boraure	Yaracuy	20 392	20 392	62	328.90
Manuel Monge	Yumare	Yaracuy	18 017	18 017	474	38.01
Nirgua	Nirgua	Yaracuy	68 341	51 823	2274	30.05
Peña	Yaritagua	Yaracuy	122 942	111 714	510	241.06
San Felipe	San Felipe	Yaracuy	145 783	80 127	472	308.86
Sucre - Yaracuy	Guama	Yaracuy	23 238	23 238	133	174.72
Urachiche	Urachiche	Yaracuy	26 674	26 674	170	156.90
Veroes	Farriar	Yaracuy	35 365	14 566	1059	33.39
Zona en Reclamación		Zona en Reclamación
Almirante Padilla	El Toro	Zulia	16 004	10 305	151	105.98
Baralt	San Timoteo	Zulia	112 432	6964	2211	50.85
Cabimas	Cabimas	Zulia	326 738	304 728	655	498.83
Catatumbo	Encontrados	Zulia	49 117	27 712	5225	9.40
Colon	San Carlos del Zulia	Zulia	157 067	14 930	3368	46.63
Francisco Javier Pulgar	Pueblo Nuevo El Chivo	Zulia	42 259	21 573	800	52.82
Jesús Enrique Lossada	La Concepción	Zulia	147 280	88 536	3533	41.68
Jesús María Semprum	Casigua El Cubo	Zulia	38 671	26 079	6003	6.44
La Cañada de Urdaneta	Concepción	Zulia	106 819	47 844	2073	51.52
Lagunillas	Ciudad Ojeda	Zulia	271 289	224 758	1024	264.93
Machiques de Perija	Machiques	Zulia	147 627	92 127	9493	15.55
Mara	San Rafael de El Moján	Zulia	252 988	65 133	3588	70.50
Maracaibo	Maracaibo	Zulia	1 624 210	1 585 357	419	3876.39
Miranda - Zulia	Los Puertos de Altagracia	Zulia	122 233	67 811	2255	54.20
Paez	Sinamaica	Zulia	91 162	20 397	2370	38.46
Rosario de Perija	La Villa del Rosario	Zulia	106 879	88 775	3914	27.30
San Francisco - Zulia	San Francisco	Zulia	541 009	156 218	185	2924.37
Santa Rita	Santa Rita	Zulia	78 107	45 478	578	135.13
Simón Bolívar - Zulia	Tía Juana	Zulia	60 070	25 436	219	274.29
Sucre - Zulia	Bobures	Zulia	74 618	7760	874	85.37
Valmore Rodríguez	Bachaquero	Zulia	65 840	46 036	1292	50.95
